Q,Q_1 Thème,Q_2 Thème,Q_3 Thème,Q_4 Thème
le retour la demande a bien ete faite mais je me perds dans le s retours car je n ai pas acces a tout le site,ESPACE CLIENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
probleme de communication de facturation d annulation etc.....,FACTURATION,ORGANISATION-PROCESS,,
je les ai appele au telephone et on m a demande d envoyer un mail ou de passer via mon espace client alors que cela aurait ete plus simple de traiter ma demande directement par telephone.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
bonne prise en charge le mecontentement vient des tarifs,CONTRAT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
personne a l ecoute et qui a s est investi pour donner une reponse a ma question,RELATION CLIENTELE,RELATION CLIENTELE,,
parce que je suis dans l attente d une information qui se deplace entre ***** et grdf depuis plusieurs semaines. je devrais avec une reponse a ma question jeudi 23 mai de grdf,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
  ,IMPRESSIONS GENERALES,,,
j ai dû insiste pour avoir l intervention rapidement mais la demande a ete tres bien traitee.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"qualite de l ecoute, rapidite de la solution apportee, explications fournies.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
rien,IMPRESSIONS GENERALES,,,
mon contrat arrive a l echeance et je constate une forte augmentation de prix. la conseillere ne m a apelle que 15 jours apres ma demarche. puis elle aurait du m appeler pendant la semaine suivante pour me faire une nouvelle proposition mais on est vendredi apres midi et je n ai rien. je vais demander des propositions a d autres fournisseurs.,ALERTES risque client,CONTRAT,ORGANISATION-PROCESS,
parce que je n ai pas reçu mon contrat. de plus ma responsable clientele n est pas tres souvent disponible.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
la prise en compte des demandes et la reactivite sont convenables.,RELATION CLIENTELE,RELATION CLIENTELE,,
"parce que ça a ete rapide, sans perte de temps. et une bonne communication, c est a dire qu il y a eu un vrai suivi.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
etre plus diligents vis-a-vis de leurs clients.,IMPRESSIONS GENERALES,,,
de continuer des enquetes de satisfaction,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
donner des nouvelles pour savoir ou en est le dossier.,ALERTES risque client,,,
parce que j ai eu 4 interlocuteurs et le mail a ete envoye de services en services  mais j ai eu ma reponse.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
parce que j ai ete satisfaite et même etonnee de la rapidite. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
,IMPRESSIONS GENERALES,,,
efficacite dans la reponse et profesionnalisme,RELATION CLIENTELE,,,
complexite a comprendre le perimetre de chacun entre grdf / ***** et personne au telephone pas toujours aimable pour nous expliquer.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"une meilleure communication, qu on puisse avoir le nom des personnes qui traitent nos dossiers. si quand même un souci avec ma boite client je n arrive pas a me connecter c est l identifiant qui n est pas bon mais ça marche un jour sur deux. enfin ********** qui s occuppe de notre dossier avec elle ça va tres bien.",RELATION CLIENTELE,ESPACE CLIENT,ORGANISATION-PROCESS,
,IMPRESSIONS GENERALES,,,
qu il tranfere le document a ****** pour que je n ai plus besoin de le reremplir.,ORGANISATION-PROCESS,,,
je mets 8 parce que cela a ete rapide. il y a eu un bon echange avec mon interlocuteur *****.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"pas-de-calais habitat est un organisme social qui a de nombreuses references client chez vous, et a ce titre, il serait souhaitable d avoir un interlocuteur unique. en effet lorsque qu on laisse un message demandant d être rappele, il n y a aucune suite. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
repondre a ma question simplement : avoir un duplicata des factures prises en compte dans le paiement de 27918.02.,FACTURATION,,,
qu il arrête de se tromper car il se trompe beaucoup. mais il corrige volontiers. il y a un gros defaut d organisation global et informatique.,ORGANISATION-PROCESS,,,
aucun rappel *****,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
probleme de facturation  different interlocuteurs a chaque appel  l attente trop longue avant que vous decrochez responsable clientele rarement joingnable,RELATION CLIENTELE,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce que les reponses sont ************ et la plupard du temps innapropriee car on m a conseille d aacceder au site or je ne l4ai pas sur le site.,SITE INTERNET - Espace utilisateur,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que je n ai pas eu toutes les reponses que j attendais.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
plus de transparence,ORGANISATION-PROCESS,,,
la personne qui s est occupe du dossier a ete tres reactive,RELATION CLIENTELE,,,
parce que trouve le delai de reponse un peu long. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"retard de facturation, nombreuses erreurs de facturation et aucune relation commerciale avec le fournisseur malgre mes demandes reiterees ",FACTURATION,,,
"bonjour, sauf erreur de ma part ,votre commerciale devait soccuper de tout , dont lannulation de  mon contrat avec edf entreprise ,ce qui na pas ete fait, car jai ete facture depuis 2015 par ***** et edf entreprise ...cest pour cette raison que jai note vos services a 5, si je suis en erreur- ça peut être 10!",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
dans la masse on reçoit enormement de donnee mais je ne sais plus .,IMPRESSIONS GENERALES,,,
je voudrais juste qu ils me rappellent.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"delai tres long (relances depuis janvier), il a fallu relancer plusieurs fois; aucune information sur la raison de ce delai; l espace client n a pas permis la delivrance de toutes nos attestations, seules 9 sur 34 ont ete delivrees en debut d annee.",ESPACE CLIENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
je n ai pas reçu le contrat que j avais demande.,CONTRAT,,,
,IMPRESSIONS GENERALES,,,
"le service particulier ne comprenait pas ma demande. j ai ****** a plusieurs reprises, j ai eu plusieurs correspondant different.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
de la reactivite et reconnaitre leur erreurs et suites a leurs erreurs faire un effort commercial car vos lacunes ne mon pas permis de gerer ma consommation ,ORGANISATION-PROCESS,,,
une vraie organisation au sein de leur entreprise et surtout qu ils transmettent les recommandes a qui de droit. le premier recommande que j ai envoye n avait pas soi disant ete reçu faire une organisation qui permette de prendre en compte et de repondre rapidement aux clients,ORGANISATION-PROCESS,,,
"par grand chose de plus, service deja complet.",IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
pas eu de reponses claires et precises a ma demande .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
12515,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
de rester dans cette optique.,IMPRESSIONS GENERALES,,,
"suite a une discussion particulierement desagreable avec plusieurs de vos conseillers, je vous remercie de traiter mon mail precedent urgemment.  je souligne la pietre qualite de votre service client, je le trouve incompetent, arrogant et irresponsable, j ai l impression dappeler a l etranger.  ",TRAITEMENT DE LA DEMANDE-RECLAMATION,RELATION CLIENTELE,RELATION CLIENTELE,
,IMPRESSIONS GENERALES,,,
une meilleure lisibilite du site.,ESPACE CLIENT,,,
a repondu a mes attentes,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que la personne a repondu a ma demande dans les plus brefs delais. satisfait.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
bien,IMPRESSIONS GENERALES,,,
j ai juste attendu un peu attendu avant de les avoir.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
je n ai encore ete contacte suite a ma demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que je suis satisfaite mais j ai eu beaucoup d appels derriere. plusieurs personnes differentes m ont rappele pour le même sujet.,IMPRESSIONS GENERALES,,,
car j ai du un peut attendre,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
plus de details sur internet .,ESPACE CLIENT,,,
******* tres rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
une reponse plus rapide et non des emails automatiques pour dire qu on va traiter mon dossier..,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
ils ont repondu a mes attentes.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
j ai dû faire quelques mails pour que cela soit traite mais c est tout a fait normal etant donne que nous sommes nouveau client chez vous.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
tres bonne reactivite ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
que ça continues comme ça car c est tres bien d avoir des contacts telephoniques avec des personnes qui sont a l ecoute et traite les demandes.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
je pensais que ce serait plus rapide au niveau du traitement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
les relations commerciales et la reactivite sont des atouts majeurs,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
"avoir une reactivite de reponse, et que celle-ci soit personnalisee et explicite pour tout le monde.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
parce que j avais demande un changement d adresse de facturation et que j ai dû refaire tous le cheminement concernant les modalites de paiements.,ORGANISATION-PROCESS,,,
"rapidite, professionnalisme, merci",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
faire ce qui a ete dit dans les delais prevus.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rester fans le même objectif  ,IMPRESSIONS GENERALES,,,
"bonjour  je n ai toujours pas la totalite de mes factures pour mon site principale, j ai peur de l avenir au niveau de la bonne gestion de ces factures. cdlt",FACTURATION,,,
communiquer plus et trouver des solutions avec les clients plutôt qu imposer des penalites enormes !,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
"mon dossier a ete traite de maniere tres satisfaisante, par mon interlocuteur, et aussi tres rapidement",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
le 10 n existe pas,IMPRESSIONS GENERALES,,,
parce que j ai eu ma reponse.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
probleme non resolu,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
effectuer un contrôle systematique des donnees d un nouveau client avant de le facturer la premiere fois afin d eviter ce type d erreur ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
ils ne m ont pas repondu je n ai eu ma reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rien a dire -retour d information rapide.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
***** a repondu correctement et rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
"trop d interlocuteurs differents, aucune prise en compte de notre probleme ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
mieux informer sur le contrat propose,CONTRAT,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"qu ils puissent nous retrouver facilement quand on donne une adresse, il faudrait qu avec l adresse ils trouvent tous les elements.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
avoir une personne qui géré un dossier et ne pas avoir a faire a plusieurs personne ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
la faiclite d avoir quelqu un au telephone pour avoir la reponse a nos questions peut-être aussi l acces au site avec un mot de passe pour acceder aux factures,RELATION CLIENTELE,ESPACE CLIENT,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
prendre en compte et agir par rapport aux elements fournis par le client.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
rapidite-efficacite,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce qu ils repondent a mes attentes. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
******* rapide a ma demande et probleme resolu,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
-,IMPRESSIONS GENERALES,,,
"parce qu on est bien satisfait mais il y a toujours un petit delai de reponse. le reste, c est tres bien. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,
.,IMPRESSIONS GENERALES,,,
la reponse qui m a ete ****** correspondait a ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
"ils ont repondu tres rapidement, j ai eu la facture avant l edition de celle-ci.",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
la personne n a pas pu repondre a ma demande,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
revoir l espace client auquel  je n arrive pas y acceder car la reference client ne correspondant pas a la facture. on me demande un nom de famille or nous sommes une entreprise et je ne sais pas ce qui faut mettre ce qui m oblige a contacter *****. c est handicapant. j aimerai qu on me rappelle pour m expliquer comment creer mon acces.,SITE INTERNET - Espace utilisateur,,,
ras,IMPRESSIONS GENERALES,,,
bon accueil. ******* concrete,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
que toutes les factures concert l universite de tours soient consultables et editables a partir de votre site.,ESPACE CLIENT,,,
simplifier les documents ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
changement d horaire base consommation,ORGANISATION-PROCESS,,,
je n ai pas reçu le document demande (facture). en effet on  nous a envoye des rappels de paiement sans que nous ayons reçu les factures en question (papier ou chorus). un releve de conso n est pas une piece comptable.,FACTURATION,,,
conforme a mes attente et reponse rapide,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
j ai eu un retour tres rapide par mail et la personne m a recontacte pour me confimer que le necessaire a ete fait sur notre compte et que nous n aurions plus de problemes pour les fois prochaines.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"suite a la question posee :  - une 1ere reponse par e-mail nous a ete envoyee :  la reponse etait assez vague et ne nous a pas permis de solutionner notre probleme. - nous avons appele vos services pour demander des eclaircissements suite a la 1ere reponse - une 2nde reponse nous a ete envoyee par e-mail, tres precise qui nous a permis de solutionner la question posee.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"trop lent dans le traitement de ma demande et jusqu aujourd hui je n ai toujours pas acces a mon contrat, uniquement a mon compte client. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
avoir un seul interlocuteur et eviter d avoir 15 documents dans 15 mails differents quand vous faites une même demande. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
faire plus d efforts et repondre plus rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
"tres bon accueil, personnel agreable reponse rapide et efficace",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
pour le moment je ne vois rien.,IMPRESSIONS GENERALES,,,
parce qu on m a repondu et m a envoye un confirmation de prise en compte par mail avec un numero de dossier. j avais un contact a joindre.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
"il n y a pas d information ,on a toujours pas de contrats , pas assez de communication. on est dans le flou. ",ORGANISATION-PROCESS,,,
j ai fait la demande. ils m ont repondu. ma demande etait en court et ils m ont envoye un mail en me dissent que tout a ete mise a jour. il y  a un suivi et je trouve ça bien. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce que j ai envoye quatre demandes de branchements provisoires avec un plan detaille et un agent m a appele pour avoir des infos qu il avait sur le document. je n ai pas eu de nouvelles depuis. on reçoit deux mails a la même heure pour nous dire  que la demande est en cours et qu il ne trouve pas le point de livraison  et un autre pour dire qu elle est traitee. je ne sais du coup a quoi me referer et nous ne pouvons repondre aux mails.,ORGANISATION-PROCESS,,,
a cause du chantage du commercial qui a voulu me faire signer un nouveau contrat alors que notre contrat est en tacite reconduction. j attends la confirmation que cette tacite reconduction au même prix. on m a menace de coupure au depart.,CONTRAT,CONTRAT,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"parce qu a chaque fois, on fait les demandes et c est rapide. on est prevenu par mail et par telephone le jour de l intervention. nous ne sommes pas toujours oblige de nous deplacer; et on nous recontacte pour prevenir de la mise en service effective.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
une reactivite au niveau du retablissement de flux edi.,ORGANISATION-PROCESS,,,
peut-être contacter edf entreprise pour que je sois remboursee,PAIEMENT,,,
"beaucoup de difficultes a gerer mon dossier  pas d envoi de factures pendant 18 mois facturation de consommations inexistantes tres difficile de joindre mon conseiller, voire impossible (absence, pas de rappel même apres l envoi d un mail situation du compte erronee, j attends de pouvoir faire le point avec mon conseiller pour envoyer mon reglement ",RELATION CLIENTELE,FACTURATION,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
j ai ete rappele assez rapidement,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
apporter egalement des aides aux entreprises,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
j ai obtenu satisfaction en partie ,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
ils peuvent toujours s ameliorer/baisser les prix/lors du comptage de la facturation il est important qu ils se mettent en relation avec le service technique,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
"toute l equipe de ********* est adorable et *********** aussi, ils nous dirigent bien , a l ecoute , qui prennent le temps sont profesionnels et prennent nos demandes en consideration.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
"pouvoir avoir un interlocuteur plus rapidement par telephone car attendre une reponse par mail, ça prend du temps et nous avons besoin de reactivite.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
ras,IMPRESSIONS GENERALES,,,
ma demande n a pas ete traitee totalement. je n ai toujours pas reçu ma facture. les delais de traitement sont longs et je n ai pas toujours la reponse a mes demandes.,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce que je ne suis aps sur que ça va être pris en compte.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
car l attente telephonique est longue dû peut être a un manque de personne. il faudrait une amplitute un peu plus importante.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ne plus parler a des machines ras le bol d internet,ORGANISATION-PROCESS,,,
pour le moment mon soucis n est pas resolu,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
pour la precision et la rapidite du delais de reponse,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
repondre a notre service comptabilite en pologne. merci,IMPRESSIONS GENERALES,,,
c etait fait en temps et en heure. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
complexite administrative pour suivre un dossier parmi d autre et mode operatoire non clairement explique par l interlocuteur.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
juste de repondre a la demande de mon client et qu on rectifie le fichier je suis ********** stephanie et non pas ******************,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
reactivite,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
on se moque de l avis du client. pas de cooperation entre les services *****. chacun travail dans son coin. irresponsabilite et inconsequence totale.,ORGANISATION-PROCESS,,,
parce que j estime qu on n est jamais a dix. ,IMPRESSIONS GENERALES,,,
peut -être plus de contact en cours de contrat au moins des rappels en fin de contrat pour anticiper le renouvellement. je dirais une qualite de suivi de contrat quand on arrive a echeance ,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
,IMPRESSIONS GENERALES,,,
la souplesse compte tenu de la structure juridique de l interlocuteur.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
bonne reactivite a mes demandes,RELATION CLIENTELE,RELATION CLIENTELE,,
,IMPRESSIONS GENERALES,,,
ecoute conseils et rapidite actions,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
on ne m a pas rappele et je tiens a cette demande pour laquelle je n ai pas de reponse .besoin professionnel.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que le branchement  n est toujours pas fait. tout a ete tres clair et on a repondu a mes demandes lors de l appel telephonique.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
qu ils remplacent totalement les confreres d edf.,IMPRESSIONS GENERALES,,,
parce qu ils ont repondus a ma demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
"depuis ma demande, je suis inondee de mail qui se contredisent. ma boîte mail deborde et j ai pris du retard sur mon travail suite a tous ces dysfonctionnements. ",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
qu ils continuent a faire comme ils font.,IMPRESSIONS GENERALES,,,
parce que la reponse n est pas completement traitee pour le moment.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"ce qui m a satisfait c est le contact avec mon interlocuteur, qui a prend en charge mon dossier tout de suite. avant j ai cherche a le faire depuis le site d ***** car apparemment ce n est pas possible. et vu que c est un contrat qui existe on passe par le fournisseur mais on m a dit qu il fallait par l operateur. comme je n ai pas pu realiser l operation par internet j ai dû appeler et la cela a fonctionne. des que j ai eu le conseiller en ligne cela a fonctionne, c est pour cela que je mets 10.",RELATION CLIENTELE,,,
***** repond tres vite aux differentes demandes et les explications donnees sont toujours claires. un reel plaisir de travailler avec *****. merci,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"c etait bien, j ai eu la reponse a la question posee",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
avoir un même interlocuteur pour le suivi d un même d un même dossier.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"plus de conseillers , afin d avoir un maximum d interlocuteurs pour les demandes, pour un traitement plus rapide de ces dernieres. les conseillers sont bons pour la partie professionnelle.",RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
on peut toujours faire mieux. ma demande est toujours en cours et pas encore soldee,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"me rappeler au plus vite pour trouver une solution, et faire un geste commercial",ALERTES risque client,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
"au niveau du suivi, a chaque fois je n ai pas forcement de retour pour savoir si c est gere ou pas. je suis obliges de rappeler ****** pour savoir si la demande est traitee.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
repondre au plus vite au telephone et ne pas mettre en attente.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
***** ne m a pas recontacte pour repondre a ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"ca fait un an , il faudrait que ça soit fait plus en amont.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que la personne que j ai eu au telephone etait agreable et tres competente.,RELATION CLIENTELE,RELATION CLIENTELE,,
,IMPRESSIONS GENERALES,,,
vous relancez vos clients pour facture impayee avant d avoir pointer votre banque car quasi tout le temps notre virement est debite alors que vous nous relancez et que vos services mettent plus de 15 jours pour regulariser et crediter notre compte laissant cour a d autres relances inutiles,PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
ameliorer le portail fournisseur qui permet de faire de demandes en ligne.,ESPACE CLIENT,,,
"a ma demande, ********************, notre conseillere electricite m a apportez de precieuse information sur la façon dont je pouvais refacturer certaines depenses d energie a un tiers ayant utilise notre reseau.  si nous avons eu des problemes, notamment vis a vis du gaz (mauvais tarif appliques sur les premieres factures de l annee, et demande de changement de puissance electrique non pris en charge par ******)  ************* a toujours ete a l ecoute de nos soucis et a tout fait pour qu ****** prenne en charge les depassements de puissance factures par *****. je la remercie. c est une super conseillere!",RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,
"***** devrait pouvoir aller plus loin dans le suivi des demandes techniques car trop souvent, la passation avec ****** implique une perte de qualite dans le suivi des dossiers.",ORGANISATION-PROCESS,,,
j attends un complement d information que je viens de reclamer,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
sur la plateforme qu elle soit plus intuitive.,ESPACE CLIENT,,,
,IMPRESSIONS GENERALES,,,
eviter d avoir trop de retours par mails dans le cadre du traitement de la demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
elle a ete tres agreable et elle a repondu a toutes mes attentes,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
***** a repondu rapidement et favorablement a notre demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
ma demande a ete totalement et non partiellement traitee car ils ont repondu a ma demande et remettre mon mot de passe.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
******* tres rapide ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
tres satisfaite d avoir eu tout de suite la facture.,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
de rappeler le client sous 24 h,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
penser a facturer en temps et en haures et ne pas revenir sur des factures de l annee precedante. qu il pense a bien changer les coordonnees banquaires lorsqu on signale pour eviter le mecontentement de nos clients.,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
